96,Объектно-ориентированный подход при разработке наукоемкого программного обеспечения,ОППРПНО,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
97,"Метрология, качество и тестирование программ",МКИТПО,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
98,Разработка мобильных приложений,РМП,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
99,Непрерывные математические модели,НММ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
75,Основы web-программирования,ОW,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
100,Теория информации и криптография,ТИИК,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
101,Современные проблемы прикладной математики и наукоемкого программного обеспечения,СППМИНП,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
103,Программная инженерия,ПИ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
104,Программные средства защиты информации,ПСЗИ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
105,Проектирование систем реального времени,ПСРВ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
106,Дискретные математические модели,ДММ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
107,Сетевые информационные технологии,СИТ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
108,История и методология математики и программирования,ИИМ МИП,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
109,Современные проблемы искусственного интелекта,СПИИ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
110,История и методология компьютерных наук,ИИМКН,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
111,Программные системы компьютерного моделирования,ПСКМ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
112,Программные средства обеспечения научных исследований,ПСОНИ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
113,Программные системы статистического анализа,ПССА,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
114,Математические методы оптимального планирования эксперимента,ММОПЭ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
115,Разработка графических интерфейсов наукоемкого программного обеспечения,РГИНПО,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
116,Функциональное программирование,ФП,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
117,Современные проблемы агентно-ориентированных технологий,СПАТ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
118,Геоинформационные системы,ГС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
119,Методы и технологии анализа больших данных,МИТАБД,2025-03-09 19:55:50.249+07,2025-03-09 19:56:08.02+07
120,Основы теории машинного обучения,ОТМО,2025-03-09 21:59:53.198+07,2025-03-09 21:59:53.198+07
121,Информационные технологии на современном предприятии,ИТНСП,2025-03-10 01:55:27.438+07,2025-03-10 01:55:27.438+07
123,Курсы,Курсы,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
122,Консультация,Консультация,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
