32,4,2024-02-14,2,2024-06-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,90,19,12,2,,
33,4,2024-02-07,2,2024-05-29,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,90,19,13,2,,
34,6,2024-02-14,2,2024-06-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,77,28,18,2,,
35,6,2024-02-14,2,2024-06-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,77,28,19,2,,
36,6,2024-02-07,2,2024-05-29,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,77,28,20,2,,
37,6,2024-02-07,2,2024-05-29,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,77,28,21,2,,
38,2,2024-02-15,2,2024-06-06,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,55,54,16,2,,
39,3,2024-02-15,2,2024-06-06,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,55,54,17,2,,
40,1,2024-02-16,2,2024-06-07,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,118,9,4,2,,
41,2,2024-02-16,2,2024-06-07,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,118,9,5,2,,
42,3,2024-02-16,2,2024-03-15,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,103,42,24,2,,
43,4,2024-02-16,2,2024-03-15,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,103,42,24,2,,
66,3,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,118,9,5,3,,
67,4,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,118,9,4,3,,
68,5,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,26,18,3,,
69,5,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,26,20,3,,
70,5,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,61,26,18,3,,
71,5,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,61,26,20,3,,
72,6,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,26,19,3,,
73,6,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,26,21,3,,
74,6,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,61,26,19,3,,
75,6,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,61,26,21,3,,
76,2,2024-02-06,1,2024-06-04,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,3,2,1,3,,
77,3,2024-02-27,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,26,30,24,3,,
78,5,2024-02-27,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,25,3,,
79,5,2024-02-27,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,25,3,,
80,5,2024-02-27,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,26,3,,
81,5,2024-02-27,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,26,3,,
82,6,2024-02-06,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,25,3,,
83,6,2024-02-06,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,25,3,,
84,6,2024-02-06,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,26,3,,
85,6,2024-02-06,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,26,3,,
86,7,2024-02-20,2,2024-02-20,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,25,3,,
87,7,2024-02-20,2,2024-02-20,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,25,3,,
88,7,2024-02-20,2,2024-02-20,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,26,3,,
89,7,2024-02-20,2,2024-02-20,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,26,3,,
90,2,2024-02-07,1,2024-06-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,26,2,2,3,,
91,3,2024-02-07,1,2024-06-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,26,2,3,3,,
92,4,2024-02-14,2,2024-06-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,89,19,12,3,,
93,4,2024-02-07,2,2024-05-29,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,89,19,13,3,,
